panther:/ # cat /proc/28308/maps
12c00000-52c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
70f70000-711fe000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot.art]
711fe000-71240000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-core-libart.art]
71240000-71269000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-okhttp.art]
71269000-712ab000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-bouncycastle.art]
712ab000-712ac000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-apache-xml.art]
712ac000-7133f000 r--p 00000000 fe:07 1299                               /system/framework/arm64/boot.oat
7133f000-71623000 r-xp 00093000 fe:07 1299                               /system/framework/arm64/boot.oat
71623000-71624000 rw-p 00000000 00:00 0                                  [anon:.bss]
71624000-71637000 rw-p 00000000 fe:07 1301                               /system/framework/arm64/boot.vdex
71637000-71638000 r--p 00377000 fe:07 1299                               /system/framework/arm64/boot.oat
71638000-71639000 rw-p 00378000 fe:07 1299                               /system/framework/arm64/boot.oat
71639000-71647000 r--p 00000000 fe:07 1251                               /system/framework/arm64/boot-core-libart.oat
71647000-7168a000 r-xp 0000e000 fe:07 1251                               /system/framework/arm64/boot-core-libart.oat
7168a000-7168b000 rw-p 00000000 00:00 0                                  [anon:.bss]
7168b000-7168e000 rw-p 00000000 fe:07 1253                               /system/framework/arm64/boot-core-libart.vdex
7168e000-7168f000 r--p 00051000 fe:07 1251                               /system/framework/arm64/boot-core-libart.oat
7168f000-71690000 rw-p 00052000 fe:07 1251                               /system/framework/arm64/boot-core-libart.oat
71690000-7169c000 r--p 00000000 fe:07 1281                               /system/framework/arm64/boot-okhttp.oat
7169c000-716d0000 r-xp 0000c000 fe:07 1281                               /system/framework/arm64/boot-okhttp.oat
716d0000-716d1000 rw-p 00000000 00:00 0                                  [anon:.bss]
716d1000-716d3000 rw-p 00000000 fe:07 1283                               /system/framework/arm64/boot-okhttp.vdex
716d3000-716d4000 r--p 00040000 fe:07 1281                               /system/framework/arm64/boot-okhttp.oat
716d4000-716d5000 rw-p 00041000 fe:07 1281                               /system/framework/arm64/boot-okhttp.oat
716d5000-716dd000 r--p 00000000 fe:07 1239                               /system/framework/arm64/boot-bouncycastle.oat
716dd000-716f2000 r-xp 00008000 fe:07 1239                               /system/framework/arm64/boot-bouncycastle.oat
716f2000-716f3000 rw-p 00000000 00:00 0                                  [anon:.bss]
716f3000-716fc000 rw-p 00000000 fe:07 1241                               /system/framework/arm64/boot-bouncycastle.vdex
716fc000-716fd000 r--p 0001d000 fe:07 1239                               /system/framework/arm64/boot-bouncycastle.oat
716fd000-716fe000 rw-p 0001e000 fe:07 1239                               /system/framework/arm64/boot-bouncycastle.oat
716fe000-71701000 r--p 00000000 fe:07 1233                               /system/framework/arm64/boot-apache-xml.oat
71701000-71706000 rw-p 00000000 fe:07 1235                               /system/framework/arm64/boot-apache-xml.vdex
71706000-71707000 r--p 00003000 fe:07 1233                               /system/framework/arm64/boot-apache-xml.oat
71707000-71708000 rw-p 00004000 fe:07 1233                               /system/framework/arm64/boot-apache-xml.oat
71708000-7231f000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework.art]
7231f000-72320000 rw-p 00000000 00:00 0                                  [anon:dalvik-/system/framework/boot-framework-graphics.art]
